loan_id,month_index,reporting_month,origination_month,loan_age_months,remaining_term_months,original_balance,current_balance,interest_rate,credit_score_band,ltv_band,dti_band,state,loan_purpose,occupancy_type,property_type,servicer_name,current_status,days_past_due,modification_flag,prepayment_flag,default_flag,loss_severity_band,last_updated_at,source_system,document_status,next_state,next_3m_delinquency_flag,next_6m_delinquency_flag,next_12m_default_flag,next_12m_prepayment_flag,exception_required,exception_type,balance_ratio,rate_spread,reporting_month_dt,last_updated_at_dt,months_since_last_update,credit_score_band_ord,ltv_band_ord,dti_band_ord,prev_balance,balance_change,prev_dpd,dpd_change
LN000000,1,2024-05-01,2024-05-01,0,360,193668.75,193130.78125,4.53,750-799,80-90%,>50%,NY,Refinance-Cashout,Owner-Occupied,Single-Family,Servicer A,Current,0,False,False,False,,2024-05-16,PrimaryCore,Complete,Current,0,1,0,0,0,,0.997222222217073,-0.46999999999999975,2024-05-01,2024-05-16,0,4,3,3,193668.75,0.0,0.0,0.0
LN000000,2,2024-06-01,2024-05-01,1,359,193668.75,192592.8125,4.53,750-799,80-90%,>50%,NY,Refinance-Cashout,Owner-Occupied,Single-Family,Servicer A,Current,0,False,False,False,,2024-06-16,PrimaryCore,Complete,Current,1,1,0,0,0,,0.9944444444393097,-0.46999999999999975,2024-06-01,2024-06-16,0,4,3,3,193130.78125,-537.96875,0.0,0.0
LN000001,1,2023-03-01,2023-03-01,0,360,228575.39,227940.45836111112,2.5,650-699,80-90%,30-40%,PA,Refinance-Cashout,Investment,Multi-Unit,Servicer A,Current,0,False,False,False,,2023-03-16,PrimaryCore,Complete,Current,0,0,0,0,0,,0.9972222222178594,-2.5,2023-03-01,2023-03-16,0,2,3,1,228575.39,0.0,0.0,0.0
LN000001,2,2023-04-01,2023-03-01,1,359,228575.39,227305.52672222225,2.5,650-699,80-90%,30-40%,PA,Refinance-Cashout,Investment,Multi-Unit,Servicer A,Current,0,False,False,False,,2023-04-16,PrimaryCore,Complete,Current,0,0,0,0,0,,0.9944444444400938,-2.5,2023-04-01,2023-04-16,0,2,3,1,227940.45836111112,-634.9316388888692,0.0,0.0
LN000001,3,2023-05-01,2023-03-01,2,358,228575.39,226670.5950833333,2.5,650-699,80-90%,30-40%,PA,Refinance-Cashout,Investment,Multi-Unit,Servicer A,Current,0,False,False,False,,2023-05-16,PrimaryCore,Missing_Doc,Current,0,0,0,0,0,,0.991666666662328,-2.5,2023-05-01,2023-05-16,0,2,3,1,227305.52672222225,-634.9316388889565,0.0,0.0
LN000001,4,2023-06-01,2023-03-01,3,357,228575.39,226035.6634444444,2.5,650-699,80-90%,30-40%,PA,Refinance-Cashout,Investment,Multi-Unit,Servicer C,Current,0,False,False,False,,2023-06-16,PrimaryCore,Complete,Current,0,0,0,0,0,,0.9888888888845623,-2.5,2023-06-01,2023-06-16,0,2,3,1,226670.5950833333,-634.9316388888983,0.0,0.0
LN000001,5,2023-07-01,2023-03-01,4,356,228575.39,225400.73180555552,2.5,650-699,80-90%,30-40%,PA,Refinance-Cashout,Investment,Multi-Unit,Servicer C,Current,0,False,False,False,,2023-07-16,PrimaryCore,Complete,Current,0,0,0,0,0,,0.9861111111067967,-2.5,2023-07-01,2023-07-16,0,2,3,1,226035.6634444444,-634.9316388888692,0.0,0.0
LN000001,6,2023-08-01,2023-03-01,5,355,228575.39,224765.80016666665,2.5,650-699,80-90%,30-40%,PA,Refinance-Cashout,Investment,Multi-Unit,Servicer B,Current,0,False,False,False,,2023-08-16,PrimaryCore,Complete,Current,0,1,0,0,0,,0.9833333333290312,-2.5,2023-08-01,2023-08-16,0,2,3,1,225400.73180555552,-634.9316388888692,0.0,0.0
LN000001,7,2023-09-01,2023-03-01,6,354,228575.39,224130.86852777773,2.5,650-699,80-90%,30-40%,PA,Refinance-Cashout,Investment,Multi-Unit,Servicer B,Current,0,False,False,False,,2023-09-16,PrimaryCore,Complete,Current,0,1,0,0,0,,0.9805555555512654,-2.5,2023-09-01,2023-09-16,0,2,3,1,224765.80016666665,-634.9316388889274,0.0,0.0
LN000001,8,2023-10-01,2023-03-01,7,353,228575.39,223495.93688888883,2.5,650-699,80-90%,30-40%,PA,Refinance-Cashout,Investment,Multi-Unit,Servicer A,Current,0,False,False,False,,2023-10-16,PrimaryCore,Complete,Current,0,1,0,0,0,,0.9777777777734997,-2.5,2023-10-01,2023-10-16,0,2,3,1,224130.86852777773,-634.9316388888983,0.0,0.0
LN000001,9,2023-11-01,2023-03-01,8,352,228575.39,222861.00524999996,2.5,650-699,80-90%,30-40%,PA,Refinance-Cashout,Investment,Multi-Unit,Servicer B,Current,0,False,False,False,,2023-11-16,PrimaryCore,Complete,Current,1,1,0,0,0,,0.9749999999957342,-2.5,2023-11-01,2023-11-16,0,2,3,1,223495.93688888883,-634.9316388888692,0.0,0.0
