loan_id,month_index,reporting_month,origination_month,loan_age_months,remaining_term_months,original_balance,current_balance,interest_rate,credit_score_band,ltv_band,dti_band,state,loan_purpose,occupancy_type,property_type,servicer_name,current_status,days_past_due,modification_flag,prepayment_flag,default_flag,loss_severity_band,last_updated_at,source_system,document_status,next_state,next_3m_delinquency_flag,next_6m_delinquency_flag,next_12m_default_flag,next_12m_prepayment_flag,exception_required,exception_type
LN000000,1,2024-05-01,2024-05-01,0,360,193668.75,193130.78125,4.53,750-799,80-90%,>50%,NY,Refinance-Cashout,Owner-Occupied,Single-Family,Servicer A,Current,0,False,False,False,None,2024-05-16,PrimaryCore,Complete,Current,0,1,0,0,0,None
LN000000,2,2024-06-01,2024-05-01,1,359,193668.75,192592.8125,4.53,750-799,80-90%,>50%,NY,Refinance-Cashout,Owner-Occupied,Single-Family,Servicer A,Current,0,False,False,False,None,2024-06-16,PrimaryCore,Complete,Current,1,1,0,0,0,None
LN000000,3,2024-07-01,2024-05-01,2,358,193668.75,192054.84375,4.53,750-799,80-90%,>50%,NY,Refinance-Cashout,Owner-Occupied,Single-Family,Servicer C,Current,0,False,False,False,None,2024-07-16,PrimaryCore,Complete,Current,1,1,0,0,0,None
LN000000,4,2024-08-01,2024-05-01,3,357,193668.75,191516.875,4.53,750-799,80-90%,>50%,NY,Refinance-Cashout,Owner-Occupied,Single-Family,Servicer C,Current,0,False,False,False,None,2024-08-16,PrimaryCore,Missing_Doc,30 DPD,1,1,0,0,0,None
LN000000,5,2024-09-01,2024-05-01,4,356,193668.75,190978.90625,4.53,750-799,80-90%,>50%,NY,Refinance-Cashout,Owner-Occupied,Single-Family,Servicer B,30 DPD,30,False,False,False,None,2024-09-16,PrimaryCore,Complete,Current,0,0,0,0,0,None
LN000000,6,2024-10-01,2024-05-01,5,355,193668.75,190440.9375,4.53,750-799,80-90%,>50%,NY,Refinance-Cashout,Owner-Occupied,Single-Family,Servicer A,Current,0,False,False,False,None,2024-10-16,PrimaryCore,Complete,Current,0,0,0,0,0,None
LN000000,7,2024-11-01,2024-05-01,6,354,193668.75,189902.96875,4.53,750-799,80-90%,>50%,NY,Refinance-Cashout,Owner-Occupied,Single-Family,Servicer A,Current,0,False,False,False,None,2024-11-16,PrimaryCore,Complete,Current,0,0,0,0,0,None
LN000000,8,2024-12-01,2024-05-01,7,353,193668.75,189365.0,4.53,750-799,80-90%,>50%,NY,Refinance-Cashout,Owner-Occupied,Single-Family,Servicer C,Current,0,False,False,False,None,2024-12-16,PrimaryCore,Complete,Current,0,0,0,0,0,None
LN000001,1,2023-03-01,2023-03-01,0,360,228575.39,227940.45836111112,2.5,650-699,80-90%,30-40%,PA,Refinance-Cashout,Investment,Multi-Unit,Servicer A,Current,0,False,False,False,None,2023-03-16,PrimaryCore,Complete,Current,0,0,0,0,0,None
LN000001,2,2023-04-01,2023-03-01,1,359,228575.39,227305.52672222222,2.5,650-699,80-90%,30-40%,PA,Refinance-Cashout,Investment,Multi-Unit,Servicer A,Current,0,False,False,False,None,2023-04-16,PrimaryCore,Complete,Current,0,0,0,0,0,None
LN000001,3,2023-05-01,2023-03-01,2,358,228575.39,226670.59508333332,2.5,650-699,80-90%,30-40%,PA,Refinance-Cashout,Investment,Multi-Unit,Servicer A,Current,0,False,False,False,None,2023-05-16,PrimaryCore,Missing_Doc,Current,0,0,0,0,0,None
LN000001,4,2023-06-01,2023-03-01,3,357,228575.39,226035.66344444442,2.5,650-699,80-90%,30-40%,PA,Refinance-Cashout,Investment,Multi-Unit,Servicer C,Current,0,False,False,False,None,2023-06-16,PrimaryCore,Complete,Current,0,0,0,0,0,None
LN000001,5,2023-07-01,2023-03-01,4,356,228575.39,225400.73180555552,2.5,650-699,80-90%,30-40%,PA,Refinance-Cashout,Investment,Multi-Unit,Servicer C,Current,0,False,False,False,None,2023-07-16,PrimaryCore,Complete,Current,0,0,0,0,0,None
LN000001,6,2023-08-01,2023-03-01,5,355,228575.39,224765.80016666662,2.5,650-699,80-90%,30-40%,PA,Refinance-Cashout,Investment,Multi-Unit,Servicer B,Current,0,False,False,False,None,2023-08-16,PrimaryCore,Complete,Current,0,1,0,0,0,None
LN000001,7,2023-09-01,2023-03-01,6,354,228575.39,224130.86852777773,2.5,650-699,80-90%,30-40%,PA,Refinance-Cashout,Investment,Multi-Unit,Servicer B,Current,0,False,False,False,None,2023-09-16,PrimaryCore,Complete,Current,0,1,0,0,0,None
LN000001,8,2023-10-01,2023-03-01,7,353,228575.39,223495.93688888883,2.5,650-699,80-90%,30-40%,PA,Refinance-Cashout,Investment,Multi-Unit,Servicer A,Current,0,False,False,False,None,2023-10-16,PrimaryCore,Complete,Current,0,1,0,0,0,None
