loan_id,origination_month,original_balance,interest_rate,credit_score_band,ltv_band,dti_band,state,loan_purpose,occupancy_type,property_type
LN000000,2024-05-01,193668.75,4.53,750-799,80-90%,>50%,NY,Refinance-Cashout,Owner-Occupied,Single-Family
LN000001,2023-03-01,228575.39,2.5,650-699,80-90%,30-40%,PA,Refinance-Cashout,Investment,Multi-Unit
LN000002,2022-08-01,281651.28,4.714,600-649,70-80%,30-40%,PA,Refinance-Cashout,Investment,Single-Family
LN000003,2023-09-01,133019.98,2.5,650-699,80-90%,30-40%,OH,Purchase,Owner-Occupied,Single-Family
LN000004,2023-07-01,304677.14,3.394,650-699,70-80%,<30%,CA,Purchase,Investment,Single-Family
LN000005,2023-11-01,289284.71,2.896,700-749,60-70%,30-40%,NC,Purchase,Owner-Occupied,Single-Family
LN000006,2022-11-01,418420.91,6.699,650-699,80-90%,30-40%,TX,Purchase,Owner-Occupied,Single-Family
LN000007,2022-11-01,218013.45,7.17,800+,70-80%,<30%,NY,Refinance-Rate-Term,Owner-Occupied,Single-Family
LN000008,2023-12-01,170080.45,5.512,700-749,70-80%,40-50%,FL,Purchase,Owner-Occupied,Condo
LN000009,2024-12-01,262594.04,4.655,700-749,60-70%,40-50%,FL,Refinance-Rate-Term,Owner-Occupied,Single-Family
LN000010,2023-12-01,190190.87,5.043,700-749,80-90%,30-40%,IL,Refinance-Cashout,Investment,Single-Family
LN000011,2022-03-01,303915.46,6.698,700-749,70-80%,40-50%,OH,Refinance-Cashout,Owner-Occupied,Single-Family
LN000012,2023-10-01,114006.51,2.5,<600,70-80%,40-50%,OH,Purchase,Owner-Occupied,Single-Family
LN000013,2022-02-01,239465.46,3.387,800+,70-80%,30-40%,OH,Purchase,Owner-Occupied,Single-Family
LN000014,2023-12-01,207162.83,6.506,700-749,60-70%,40-50%,FL,Refinance-Cashout,Second Home,Single-Family
LN000015,2024-06-01,356775.71,6.818,<600,90-95%,30-40%,NC,Purchase,Investment,Single-Family
LN000016,2022-02-01,218943.53,5.885,700-749,70-80%,<30%,PA,Refinance-Cashout,Owner-Occupied,Single-Family
LN000017,2023-09-01,126390.42,3.433,700-749,70-80%,30-40%,MI,Refinance-Cashout,Owner-Occupied,Condo
LN000018,2024-09-01,279817.99,6.484,<600,60-70%,30-40%,GA,Purchase,Owner-Occupied,Single-Family
