loan_id,reporting_month,current_balance,current_status,last_updated_at,source_system
LN003965,2025-03-01,199599.95312973871,Current,2025-03-11,ServicerSecondary
LN003266,2025-01-01,293186.5729926439,Current,2025-01-11,ServicerSecondary
LN001410,2025-04-01,268841.0341487913,Current,2025-04-11,ServicerSecondary
LN001121,2025-04-01,265578.14620292146,Current,2025-04-11,ServicerSecondary
LN004199,2025-04-01,371541.2916141947,Current,2025-04-11,ServicerSecondary
LN004833,2025-06-01,344604.8215129794,Current,2025-06-11,ServicerSecondary
LN002657,2025-02-01,192236.89737541546,Current,2025-02-11,ServicerSecondary
LN003078,2025-02-01,309742.904067457,Current,2025-02-11,ServicerSecondary
LN000740,2025-01-01,242007.80037873815,Current,2025-01-11,ServicerSecondary
LN004015,2025-05-01,233059.91335754178,Current,2025-05-11,ServicerSecondary
LN004702,2025-02-01,425212.30268262123,60 DPD,2025-02-11,ServicerSecondary
LN001901,2025-02-01,106993.20116972757,Current,2025-02-11,ServicerSecondary
LN002936,2025-03-01,314207.60023272596,Current,2025-03-11,ServicerSecondary
LN001103,2025-04-01,316284.50974856486,Current,2025-04-11,ServicerSecondary
LN002985,2025-03-01,183026.31037918912,Current,2025-03-11,ServicerSecondary
LN003339,2025-01-01,244424.45244580452,Current,2025-01-11,ServicerSecondary
LN000769,2025-06-01,402184.40079700726,Current,2025-06-11,ServicerSecondary
LN000312,2025-05-01,50758.98054421581,Current,2025-05-11,ServicerSecondary
LN000271,2025-02-01,222366.12980517372,Current,2025-02-11,ServicerSecondary
LN002697,2025-01-01,261377.70492879694,Current,2025-01-11,ServicerSecondary
LN000976,2025-04-01,319123.9879788178,Current,2025-04-11,ServicerSecondary
LN004345,2025-05-01,327889.6706233389,Current,2025-05-11,ServicerSecondary
LN003005,2025-03-01,338835.6780116725,Current,2025-03-11,ServicerSecondary
LN000164,2025-05-01,267909.96741358977,Current,2025-05-11,ServicerSecondary
LN003234,2025-04-01,257031.38522751263,Current,2025-04-11,ServicerSecondary
LN001148,2025-04-01,329595.38912219804,Current,2025-04-11,ServicerSecondary
LN001061,2025-06-01,239530.192541403,Current,2025-06-11,ServicerSecondary
LN001652,2025-01-01,95691.0406524824,Current,2025-01-11,ServicerSecondary
LN000124,2025-03-01,189985.91348168737,Current,2025-03-11,ServicerSecondary
LN001754,2025-02-01,359180.0132960246,Current,2025-02-11,ServicerSecondary
LN003067,2025-01-01,288247.71512436104,Current,2025-01-11,ServicerSecondary
LN003704,2025-01-01,217268.4312271963,Current,2025-01-11,ServicerSecondary
LN002083,2025-06-01,374863.0254158595,Current,2025-06-11,ServicerSecondary
LN003101,2025-04-01,238487.95537978303,Current,2025-04-11,ServicerSecondary
LN002650,2025-02-01,302227.918446074,Current,2025-02-11,ServicerSecondary
LN001932,2025-01-01,297619.11390094424,Current,2025-01-11,ServicerSecondary
LN000757,2025-04-01,213283.8964752797,Current,2025-04-11,ServicerSecondary
LN002045,2025-02-01,251891.11483049253,Current,2025-02-11,ServicerSecondary
LN002392,2025-06-01,348216.6107643919,Current,2025-06-11,ServicerSecondary
LN002885,2025-04-01,309433.4217346625,Current,2025-04-11,ServicerSecondary
LN002846,2025-02-01,296848.1399904819,Current,2025-02-11,ServicerSecondary
LN000281,2025-02-01,286827.665859055,Current,2025-02-11,ServicerSecondary
LN003629,2025-04-01,228752.9266852961,Current,2025-04-11,ServicerSecondary
LN004358,2025-01-01,257760.34444606383,Current,2025-01-11,ServicerSecondary
LN000541,2025-02-01,419842.3127085162,Current,2025-02-11,ServicerSecondary
LN002366,2025-06-01,330568.3094599253,Current,2025-06-11,ServicerSecondary
LN003355,2025-05-01,454147.80902696145,Current,2025-05-11,ServicerSecondary
LN003514,2025-05-01,316547.3402429738,Current,2025-05-11,ServicerSecondary
LN002385,2025-04-01,257731.09216710157,Current,2025-04-11,ServicerSecondary
LN001895,2025-05-01,231047.99161574437,Current,2025-05-11,ServicerSecondary
LN002461,2025-05-01,332143.7089801212,Current,2025-05-11,ServicerSecondary
LN004401,2025-03-01,321101.3448235349,Current,2025-03-11,ServicerSecondary
