loan_id,reporting_month,field,panel_value,servicer_value,winner,resolution
LN000017,2025-03-01,current_balance,119719.81450000004,120118.10055728546,PrimaryCore,Servicer data is stale; panel update is newer.
LN000017,2025-04-01,current_balance,119368.73000000004,127488.71626903722,PrimaryCore,Servicer data is stale; panel update is newer.
LN000029,2025-03-01,current_balance,110672.91316666684,110612.89997415802,PrimaryCore,Servicer data is stale; panel update is newer.
LN000035,2025-01-01,current_balance,408042.6730000003,434613.2219441913,PrimaryCore,Servicer data is stale; panel update is newer.
LN000035,2025-03-01,current_balance,405697.600166667,387283.8291939363,PrimaryCore,Servicer data is stale; panel update is newer.
LN000052,2025-05-01,current_balance,413772.8906666666,421470.5000328912,PrimaryCore,Servicer data is stale; panel update is newer.
LN000052,2025-06-01,current_balance,412597.3995,401602.0824217015,PrimaryCore,Servicer data is stale; panel update is newer.
LN000059,2025-06-01,current_balance,164574.05508333337,149801.33722551863,PrimaryCore,Servicer data is stale; panel update is newer.
LN000060,2025-01-01,current_balance,457258.11250000045,486876.3777723265,PrimaryCore,Servicer data is stale; panel update is newer.
LN000082,2025-04-01,current_balance,429162.6044444444,440165.9878226438,PrimaryCore,Servicer data is stale; panel update is newer.
LN000093,2025-01-01,current_balance,350429.82158333325,376299.3225111316,PrimaryCore,Servicer data is stale; panel update is newer.
LN000093,2025-05-01,current_balance,346503.4370277776,364863.7473743841,PrimaryCore,Servicer data is stale; panel update is newer.
LN000094,2025-02-01,current_balance,392432.55975,413203.6172394583,PrimaryCore,Servicer data is stale; panel update is newer.
LN000108,2025-05-01,current_balance,212689.62524999992,222203.9040115649,PrimaryCore,Servicer data is stale; panel update is newer.
LN000110,2025-05-01,current_balance,236346.40330555523,237835.64355416072,PrimaryCore,Servicer data is stale; panel update is newer.
LN000111,2025-05-01,current_balance,377518.37083333335,384594.7460215443,PrimaryCore,Servicer data is stale; panel update is newer.
LN000116,2025-02-01,current_balance,243383.3733333336,256078.29017418987,PrimaryCore,Servicer data is stale; panel update is newer.
LN000117,2025-03-01,current_balance,273926.58091666666,250276.2490250716,PrimaryCore,Servicer data is stale; panel update is newer.
LN000118,2025-05-01,current_balance,213198.34866666672,194508.05058866212,PrimaryCore,Servicer data is stale; panel update is newer.
LN000124,2025-03-01,current_balance,200340.07272222213,189985.91348168737,PrimaryCore,Servicer data is stale; panel update is newer.
LN000131,2025-02-01,current_balance,286743.27630555583,308994.8515268531,PrimaryCore,Servicer data is stale; panel update is newer.
LN000146,2025-02-01,current_balance,324959.2096666666,323966.56333083165,PrimaryCore,Servicer data is stale; panel update is newer.
LN000151,2025-01-01,current_balance,227666.03433333343,212237.73901294108,PrimaryCore,Servicer data is stale; panel update is newer.
LN000156,2025-06-01,current_balance,296663.281388889,313349.68148098886,PrimaryCore,Servicer data is stale; panel update is newer.
LN000164,2025-05-01,current_balance,270328.275,267909.96741358977,PrimaryCore,Servicer data is stale; panel update is newer.
LN000170,2025-04-01,current_balance,302885.2077499998,305314.92055439536,PrimaryCore,Servicer data is stale; panel update is newer.
LN000219,2025-04-01,current_balance,112542.15916666664,107134.501665497,PrimaryCore,Servicer data is stale; panel update is newer.
LN000219,2025-05-01,current_balance,112225.13899999998,111509.57956573804,PrimaryCore,Servicer data is stale; panel update is newer.
LN000227,2025-01-01,current_balance,293725.3483333333,316915.1903046196,PrimaryCore,Servicer data is stale; panel update is newer.
